gene_id,H2Aub,H3K27,misregulated
AT5G05570,1.7554604600534247,NA,NA
AT1G55535,1.5066961161159715,NA,NA
AT1G04930,1.3264176319239864,NA,NA
AT2G46180,1.3027984049430654,3.1587116371896453,-1.65726829707489
AT1G10400,-1.1062683901911787,NA,NA
AT2G26250,-0.9909944608090212,NA,NA
AT5G04360,1.1057811040809904,1.234614515846381,-3.00987424791256
AT5G15820,1.3229485925569802,2.8330787629776437,NA
AT5G11160,-1.0338585352063367,NA,NA
AT1G05183,1.3746612703684626,NA,NA
AT1G15700,1.3746612703684626,NA,NA
AT1G15710,1.3746612703684626,NA,NA
AT2G37400,1.7210568784801838,NA,NA
AT3G08485,1.114314169642295,2.9140375011905313,NA
AT3G55480,1.114314169642295,NA,NA
AT3G55485,1.114314169642295,2.9140375011905313,NA
AT3G55490,1.114314169642295,2.9140375011905313,-2.10685860067989
AT1G60700,1.1074572438421315,1.921683416639225,NA
AT5G40940,0.9653569590913372,1.908073366868634,NA
AT3G22260,1.637414371819847,2.295443997363366,NA
AT3G48250,1.564699634680238,NA,NA
AT5G25620,-1.2355438049699974,NA,NA
AT4G10955,1.5779469872800191,NA,NA
AT1G02065,-0.9100537445065378,NA,NA
AT1G02067,-0.9100537445065378,NA,NA
AT1G02070,-0.9100537445065378,-0.3172674373294603,NA
AT1G72100,-1.2414316365853149,-0.5246385436509833,NA
AT1G78930,1.463259291589521,NA,NA
AT1G78430,-1.0163973997881688,NA,NA
AT1G78440,-1.0163973997881688,NA,NA
AT2G16770,1.616741599829069,NA,NA
AT4G12620,1.1339338518852722,2.316996970096601,NA
AT4G12640,1.1339338518852722,NA,NA
AT2G22470,-1.1706195588831272,NA,NA
AT3G12970,-1.4329455014997683,NA,NA
AT5G63520,1.2130179655978468,2.519578348525932,NA
AT5G17840,1.9860047757423376,NA,NA
AT4G05695,1.4754959453345098,2.275366521582428,NA
AT1G04160,-0.7288203117925429,NA,NA
AT1G54110,1.105382234257259,NA,NA
AT3G22590,1.5486902766744786,NA,NA
AT5G43340,-1.1236910856964903,NA,NA
AT4G35510,1.4406028002314333,3.152674944624047,-2.48032345691924
AT5G63950,1.1411268356128457,2.6138477294578633,NA
AT5G63960,1.1411268356128457,NA,NA
AT4G09525,-0.9609091699334412,-0.3350533940208596,NA
AT4G37650,-0.9609091699334412,-0.3350533940208596,NA
AT3G14370,-1.0282143540036506,-0.709423144444391,NA
AT5G63450,-1.2527798853400824,NA,NA
AT4G01220,1.608098264546039,NA,NA
AT5G42765,1.343235272619056,NA,NA
AT1G30120,1.2877613430121946,NA,-1.23400399469815
AT3G21230,-1.3961474117053307,NA,NA
AT3G19720,1.092020154840318,NA,NA
AT1G65020,1.3220618584190904,NA,NA
AT1G65030,1.3220618584190904,NA,NA
AT5G56650,1.367963292982678,NA,NA
AT5G18710,1.3209821658685068,NA,NA
AT5G08120,1.5475488789014964,NA,NA
AT1G03960,0.9570489757590744,1.812008898078077,NA
AT4G02840,1.8582040659053376,NA,NA
AT1G07950,1.2734627882774967,NA,NA
AT1G07960,1.2734627882774967,NA,NA
AT2G08285,-1.060496511450376,NA,NA
AT2G28625,-1.060496511450376,NA,NA
AT1G01950,2.1145329652184786,NA,NA
AT1G04940,1.0241763713131946,NA,NA
AT1G04945,1.0241763713131946,NA,NA
AT5G41600,1.473169595501774,NA,NA
AT2G42570,-0.7466870817635117,NA,NA
AT1G21160,1.4853278415797364,NA,NA
AT1G21170,1.4853278415797364,NA,NA
AT1G47210,1.4965607107703005,NA,NA
AT5G08139,1.243845743769037,2.9852565246268696,-1.17685282346022
AT3G23700,1.131208019390533,NA,NA
AT3G23710,1.131208019390533,NA,NA
AT1G06000,-1.2342290758222705,NA,NA
AT1G06002,-1.2342290758222705,NA,NA
AT1G45230,1.4436570941286695,NA,NA
