ubp5_targets,cat
AT1G18410,Hypo-marked
AT1G18415,Hyper-marked
AT1G18420,Hyper-marked
AT1G18430,Hyper-marked
AT1G18440,Hyper-marked
AT1G18450,De-novo marked
AT1G18460,De-novo marked
AT1G18470,De-novo marked
AT1G18480,Unchanged
AT1G18580,De-novo marked
AT1G18600,Hyper-marked
AT1G18610,Hyper-marked
AT1G18630,De-novo marked
AT1G18680,De-novo marked
AT1G18720,De-novo marked
AT1G18800,Unchanged
AT1G18850,Unchanged
AT1G18890,Hypo-marked
AT1G18940,Hyper-marked
AT1G18950,Hyper-marked
AT1G19010,De-novo marked
AT1G19025,Unchanged
AT1G19100,De-novo marked
AT1G19110,De-novo marked
AT1G19120,Unchanged
AT1G19140,Unchanged
AT1G19170,Unchanged
AT1G19190,Unchanged
AT1G19200,Unchanged
AT1G19210,Hyper-marked
AT1G19220,Hyper-marked
AT1G19240,Unchanged
AT1G19250,Unchanged
AT1G19270,Hyper-marked
AT1G19290,Hyper-marked
AT1G19330,Hypo-marked
AT1G19340,Hyper-marked
AT1G19350,Unchanged
AT1G19440,Unchanged
AT1G19450,De-novo marked
AT1G19480,De-novo marked
AT1G19520,De-novo marked
AT1G19570,De-novo marked
AT1G19580,De-novo marked
AT1G19650,De-novo marked
AT1G19680,Unchanged
AT1G19700,Hyper-marked
AT1G19710,De-novo marked
AT1G19750,De-novo marked
AT1G19800,Unchanged
AT1G19860,Unchanged
AT1G19870,Unchanged
AT1G19880,De-novo marked
AT1G19910,Hypo-marked
AT1G19920,Hyper-marked
AT1G19950,De-novo marked
AT1G19970,Hyper-marked
AT1G19980,Hyper-marked
AT1G19990,Unchanged
AT1G20060,Unchanged
AT1G20065,Hypo-marked
AT1G20090,De-novo marked
AT1G20100,Unchanged
AT1G20110,De-novo marked
AT1G20140,Hyper-marked
AT1G20200,Unchanged
AT1G20220,Hyper-marked
AT1G20225,De-novo marked
AT1G20270,De-novo marked
AT1G20290,De-novo marked
AT1G20300,De-novo marked
AT1G20410,Unchanged
AT1G20460,De-novo marked
AT1G20480,Hypo-marked
AT1G20510,Hypo-marked
AT1G20560,Hyper-marked
AT1G20570,Hyper-marked
AT1G20575,Hyper-marked
AT1G20580,Hyper-marked
AT1G20610,Unchanged
AT1G20670,Unchanged
AT1G20720,De-novo marked
AT1G20760,De-novo marked
AT1G20770,Hyper-marked
AT1G20810,Hyper-marked
AT1G20820,De-novo marked
AT1G20823,Hyper-marked
AT1G20830,De-novo marked
AT1G20840,De-novo marked
AT1G20870,Hypo-marked
AT1G20875,Hypo-marked
AT1G20880,De-novo marked
AT1G20900,Hypo-marked
AT1G20920,Unchanged
AT1G20930,Unchanged
AT1G20960,De-novo marked
AT1G21060,Unchanged
AT1G21070,De-novo marked
AT1G21150,De-novo marked
AT1G21160,De-novo marked
AT1G21170,De-novo marked
AT1G21190,De-novo marked
AT1G21260,Unchanged
AT1G21270,Hypo-marked
AT1G21280,Hypo-marked
AT1G21320,Unchanged
AT1G21370,Hyper-marked
AT1G21400,Unchanged
AT1G21410,Unchanged
AT1G21480,Hyper-marked
AT1G21560,De-novo marked
AT1G21580,Hyper-marked
AT1G21600,Hyper-marked
AT1G21610,De-novo marked
AT1G21630,Unchanged
AT1G21650,Unchanged
AT1G21651,Unchanged
AT1G21660,De-novo marked
AT1G21680,Unchanged
AT1G21690,Unchanged
AT1G21700,Hyper-marked
AT1G21710,Hyper-marked
AT1G21720,Unchanged
AT1G21740,Hypo-marked
AT1G21760,Unchanged
AT1G21780,Unchanged
AT1G21790,De-novo marked
AT1G21880,Unchanged
AT1G21920,Unchanged
AT1G21930,Unchanged
AT1G22020,De-novo marked
AT1G22040,Unchanged
AT1G22140,De-novo marked
AT1G22200,De-novo marked
AT1G22260,Hyper-marked
AT1G22270,Hyper-marked
AT1G22275,Hyper-marked
AT1G22450,Unchanged
AT1G22520,Unchanged
AT1G22730,Hypo-marked
AT1G22800,Hyper-marked
AT1G22880,Unchanged
AT1G22920,Hyper-marked
AT1G22940,De-novo marked
AT1G22950,De-novo marked
AT1G22960,De-novo marked
AT1G22970,De-novo marked
AT1G22985,De-novo marked
AT1G23170,Unchanged
AT1G23180,De-novo marked
AT1G23220,De-novo marked
AT1G23230,De-novo marked
AT1G23310,De-novo marked
AT1G23440,De-novo marked
AT1G23550,Hyper-marked
AT1G23750,Hyper-marked
AT1G23780,De-novo marked
AT1G23860,De-novo marked
AT1G23880,De-novo marked
AT1G23900,Unchanged
AT1G23960,Unchanged
AT1G23965,Unchanged
AT1G23980,De-novo marked
AT1G23985,De-novo marked
AT1G24050,De-novo marked
AT1G24080,Unchanged
AT1G24090,Unchanged
AT1G24095,Unchanged
AT1G24100,Hyper-marked
AT1G24120,De-novo marked
AT1G24210,Unchanged
AT1G24267,Unchanged
AT1G24280,Unchanged
AT1G24300,Unchanged
AT1G24310,De-novo marked
AT1G24440,Unchanged
AT1G24450,De-novo marked
AT1G24490,De-novo marked
